Battle Date,Time remaining,,,Result,Stars,Star Gain,XP,,Result,Stars,Star Gain
8/6/2015,4:15,,7. Jalau,100%,3,2,0,10,Defeat,,
8/6/2015,7:34,,1. Magna,50%,1,1,5,1,Defeat,,
8/6/2015,8:10,,2. dddddd,71%,2,2,5,4,Defeat,,
8/6/2015,8:27,,4. Go Nudi,Defended,,,,6,19%,0,0
8/6/2015,8:44,,8. Javier,75%,1,1,4,10,Defeat,,
8/6/2015,9:42,,4. Go Nudi,100%,3,3,4,7,Defeat,,
8/6/2015,9:53,,4. Go Nudi,Defended,,,,3,35%,0,0
8/6/2015,10:18,,10. centries,12%,0,0,0,7,Defended,,
8/6/2015,10:36,,1. Magna,95%,2,0,0,3,Defeat,,
8/6/2015,10:38,,10. centries,4%,0,0,0,10,Defended,,
8/6/2015,11:10,,6. Alabaster,100%,3,3,4,9,Defeat,,
8/6/2015,12:21,,3. Unknown (Kim),Defended,,,,2,43%,0,0
8/6/2015,12:54,,2. dddddd,Defended,,,,9,8%,0,0
8/6/2015,12:58,,10. centries,Defended,,,,9,31%,0,0
8/6/2015,13:37,,10. centries,Defeat,,,,7,100%,3,3
8/6/2015,14:47,,5. Thanatos,100%,3,3,4,8,Defeat,,
8/6/2015,15:06,,3. Unknown (Kim),51%,2,2,4,3,Defeat,,
8/6/2015,15:15,,5. Thanatos,Defeat,,,,4,64%,2,0
8/6/2015,15:56,,5. Thanatos,Defeat,,,,2,51%,2,2
8/6/2015,16:01,,9. kewal,0%,0,0,0,9,Defended,,
8/6/2015,16:21,,9. kewal,0%,0,0,0,10,Defended,,
8/6/2015,20:53,,9. kewal,Defeat,,,,7,100%,3,3
8/6/2015,21:02,,8. Javier,0%,0,0,0,9,Defended,,
8/6/2015,22:16,,7. Jalau,Defeat,,,,5,,,
8/6/2015,22:46,,3. Unknown (Kim),50%,2,2,5,2,Defeat,,
8/6/2015,23:55,,6. Alabaster,Defeat,,,,5,100%,3,3
8/6/2015,23:57,,8. Javier,Defeat,,,,3,100%,3,3
8/10/2015,0:12,,2. dddddd,45%,0,0,0,1,Defended,,
8/10/2015,0:59,,4. Go Nudi,68%,1,0,0,3,Defeat,,
8/10/2015,1:27,,3. Unknown (Kim),Defeat,,,,4,58%,1,0
8/10/2015,1:51,,2. dddddd,Defeat,,,,1,72%,2,2
8/10/2015,1:56,,2. dddddd,Defended,,,,2,35%,0,0
8/10/2015,2:13,,7. bbbbbb,Defeat,,,,3,100%,3,1
8/10/2015,3:30,,6. Alabaster,Defeat,,,,5,100%,3,3
8/10/2015,3:37,,1. Magna,Defeat,,,,1,77%,1,1
8/10/2015,3:57,,7. bbbbbb,Defended,,,,8,30%,0,0
8/10/2015,4:16,,7. bbbbbb,Defeat,,,,6,63%,2,2
8/10/2015,6:08,,7. bbbbbb,Defended,,,,7,33%,0,0
8/10/2015,6:35,,4. Go Nudi,87%,2,0,0,4,Defeat,,
8/10/2015,7:05,,6. Alabaster,32%,0,0,0,5,Defended,,
8/10/2015,7:12,,1. Magna,38%,0,0,0,1,Defended,,
8/10/2015,8:27,,6. Alabaster,100%,3,1,0,10,Defeat,,
8/10/2015,8:40,,3. Unknown (Kim),Defeat,,,,2,64%,1,0
8/10/2015,8:48,,2. dddddd,100%,3,3,5,2,Defeat,,
8/10/2015,8:54,,8. Javier,Defeat,,,,9,100%,3,3
8/10/2015,9:04,,1. Magna,91%,2,2,5,3,Defeat,,
8/10/2015,9:15,,7. bbbbbb,100%,3,3,4,9,Defeat,,
8/10/2015,10:12,,5. Thanatos,Defeat,,,,5,100%,3,3
8/10/2015,12:24,,5. Thanatos,100%,3,3,4,6,Defeat,,
8/10/2015,13:58,,5. Thanatos,100%,3,3,4,8,Defeat,,
8/10/2015,14:16,,9. kewal,3%,0,0,0,9,Defended,,
8/10/2015,16:19,,9. kewal,91%,2,2,4,10,Defeat,,
8/10/2015,17:03,,3. Unknown (Kim),78%,2,2,5,4,Defeat,,
8/10/2015,17:53,,3. Unknown (Kim),Defeat,,,,3,53%,1,1
8/10/2015,20:04,,9. kewal,Defeat,,,,9,100%,3,3
8/10/2015,20:20,,4. Go Nudi,Defeat,,,,4,97%,2,2
8/10/2015,20:54,,7. bbbbbb,100%,3,3,4,7,Defeat,,
8/10/2015,22:44,,10. centries,Defeat,,,,10,100%,3,3
